,full_name,swim_time_formatted,swim_date
0,"Haas, Townley","=""1:45.03""","=""6/28/2017"""
1,"Haas, Townley","=""1:45.04""","=""7/25/2017"""
5,"Haas, Townley","=""1:45.43""","=""7/24/2017"""
7,"Haas, Townley","=""1:45.56""","=""8/9/2018"""
8,"Haas, Townley","=""1:45.58""","=""8/8/2016"""
9,"Haas, Townley","=""1:45.66""","=""6/28/2016"""
11,"Seliskar, Andrew","=""1:45.70""","=""7/26/2018"""
13,"Seliskar, Andrew","=""1:45.74""","=""8/9/2018"""
14,"Conger, Jack","=""1:45.77""","=""6/28/2016"""
15,"Seliskar, Andrew","=""1:45.77""","=""7/26/2018"""
16,"Seliskar, Andrew","=""1:45.81""","=""8/9/2018"""
18,"Haas, Townley","=""1:45.92""","=""12/6/2019"""
19,"Haas, Townley","=""1:45.92""","=""8/7/2016"""
20,"Pieroni, Blake","=""1:45.93""","=""7/26/2018"""
23,"Haas, Townley","=""1:46.13""","=""8/7/2016"""
24,"Haas, Townley","=""1:46.15""","=""7/26/2018"""
25,"Haas, Townley","=""1:46.19""","=""8/9/2018"""
26,"Smith, Kieran","=""1:46.21""","=""8/1/2019"""
27,"Smith, Kieran","=""1:46.25""","=""8/1/2019"""
28,"Pieroni, Blake","=""1:46.26""","=""7/26/2018"""
29,"Pieroni, Blake","=""1:46.30""","=""6/28/2017"""
30,"Smith, Kieran","=""1:46.30""","=""5/14/2021"""
33,"Haas, Townley","=""1:46.37""","=""7/22/2019"""
34,"Grothe, Zane","=""1:46.39""","=""6/28/2017"""
35,"Levant, Jack","=""1:46.39""","=""7/26/2018"""
36,"Farris, Dean","=""1:46.45""","=""8/1/2019"""
37,"Levant, Jack","=""1:46.46""","=""7/26/2018"""
38,"Smith, Kieran","=""1:46.46""","=""5/14/2021"""
39,"Haas, Townley","=""1:46.50""","=""7/24/2017"""
40,"Urlando, Luca","=""1:46.51""","=""8/1/2019"""
42,"Apple, Zach","=""1:46.56""","=""8/9/2018"""
43,"Pieroni, Blake","=""1:46.56""","=""8/9/2018"""
46,"Lochte, Ryan","=""1:46.62""","=""6/28/2016"""
47,"Pieroni, Blake","=""1:46.62""","=""8/4/2019"""
51,"Pieroni, Blake","=""1:46.68""","=""8/9/2018"""
52,"Seliskar, Andrew","=""1:46.74""","=""7/22/2019"""
54,"Apple, Zach","=""1:46.76""","=""12/6/2019"""
56,"Apple, Zach","=""1:46.78""","=""8/9/2018"""
57,"Rooney, Maxime","=""1:46.78""","=""8/1/2019"""
58,"Apple, Zach","=""1:46.80""","=""7/6/2019"""
61,"Seliskar, Andrew","=""1:46.83""","=""7/22/2019"""
63,"Conger, Jack","=""1:46.85""","=""8/9/2018"""
64,"Haas, Townley","=""1:46.85""","=""6/28/2017"""
65,"Haas, Townley","=""1:46.85""","=""7/22/2019"""
67,"Pieroni, Blake","=""1:46.88""","=""7/24/2017"""
68,"Seliskar, Andrew","=""1:46.89""","=""6/22/2019"""
69,"Seliskar, Andrew","=""1:46.91""","=""3/6/2020"""
72,"House, Grant","=""1:46.95""","=""7/26/2018"""
73,"Conger, Jack","=""1:46.96""","=""3/2/2018"""
76,"Urlando, Luca","=""1:46.97""","=""8/21/2019"""
79,"Seliskar, Andrew","=""1:47.01""","=""3/5/2021"""
81,"Seliskar, Andrew","=""1:47.07""","=""5/14/2021"""
82,"Pieroni, Blake","=""1:47.08""","=""7/24/2017"""
83,"Haas, Townley","=""1:47.09""","=""5/31/2019"""
84,"Smith, Clark","=""1:47.10""","=""6/28/2017"""
85,"Conger, Jack","=""1:47.15""","=""6/27/2016"""
86,"Kibler, Drew","=""1:47.16""","=""7/12/2019"""
87,"Haas, Townley","=""1:47.18""","=""6/27/2016"""
88,"Theall, Mark","=""1:47.19""","=""8/1/2019"""
89,"Pieroni, Blake","=""1:47.20""","=""9/15/2018"""
91,"Conger, Jack","=""1:47.25""","=""6/27/2016"""
93,"Pieroni, Blake","=""1:47.25""","=""5/18/2019"""
96,"Smith, Kieran","=""1:47.26""","=""12/6/2019"""
98,"Smith, Clark","=""1:47.29""","=""6/28/2017"""
99,"Smith, Kieran","=""1:47.29""","=""11/13/2020"""
100,"Magahey, Jake","=""1:47.30""","=""5/14/2021"""
101,"Dressel, Caeleb","=""1:47.31""","=""4/11/2019"""
103,"Pieroni, Blake","=""1:47.32""","=""9/9/2018"""
104,"Rooney, Maxime","=""1:47.32""","=""8/1/2019"""
105,"Bentz, Gunnar","=""1:47.33""","=""6/28/2016"""
108,"Callan, Patrick","=""1:47.36""","=""8/1/2019"""
109,"Smith, Kieran","=""1:47.36""","=""1/15/2021"""
110,"Callan, Patrick","=""1:47.38""","=""11/13/2020"""
111,"Farris, Dean","=""1:47.38""","=""12/6/2019"""
116,"Dressel, Caeleb","=""1:47.42""","=""5/14/2021"""
120,"Conger, Jack","=""1:47.45""","=""7/26/2018"""
121,"Dressel, Caeleb","=""1:47.45""","=""6/28/2017"""
122,"D'Arrigo, Mitch","=""1:47.46""","=""8/7/2016"""
123,"Foster, Carson","=""1:47.47""","=""8/21/2019"""
124,"Rooney, Maxime","=""1:47.47""","=""6/28/2017"""
125,"Haas, Townley","=""1:47.48""","=""3/6/2020"""
128,"Pieroni, Blake","=""1:47.49""","=""6/28/2017"""
129,"Smith, Clark","=""1:47.49""","=""6/27/2016"""
130,"Conger, Jack","=""1:47.50""","=""7/1/2017"""
131,"Rooney, Maxime","=""1:47.50""","=""7/26/2018"""
132,"Dressel, Caeleb","=""1:47.51""","=""6/28/2017"""
133,"D'Arrigo, Mitch","=""1:47.52""","=""6/28/2017"""
135,"Farris, Dean","=""1:47.53""","=""12/6/2019"""
136,"Foster, Carson","=""1:47.53""","=""8/1/2019"""
137,"Smith, Clark","=""1:47.53""","=""6/28/2016"""
138,"Dressel, Caeleb","=""1:47.55""","=""3/6/2020"""
139,"Haas, Townley","=""1:47.55""","=""7/26/2018"""
140,"D'Arrigo, Mitch","=""1:47.56""","=""5/17/2016"""
141,"Urlando, Luca","=""1:47.56""","=""5/24/2019"""
144,"Dressel, Caeleb","=""1:47.57""","=""4/8/2021"""
145,"Julian, Trenton","=""1:47.57""","=""7/26/2018"""
146,"Dressel, Caeleb","=""1:47.58""","=""12/6/2019"""
147,"Grothe, Zane","=""1:47.58""","=""6/28/2017"""
148,"Hill, Julian","=""1:47.58""","=""4/3/2021"""
150,"Litherland, Jay","=""1:47.58""","=""7/26/2018"""
151,"Lochte, Ryan","=""1:47.58""","=""6/27/2016"""
152,"Foster, Carson","=""1:47.59""","=""5/21/2021"""
154,"Callan, Patrick","=""1:47.61""","=""8/24/2017"""
155,"D'Arrigo, Mitch","=""1:47.61""","=""5/17/2016"""
156,"Grothe, Zane","=""1:47.61""","=""8/5/2016"""
158,"Conger, Jack","=""1:47.63""","=""7/26/2018"""
162,"Kibler, Drew","=""1:47.65""","=""8/23/2018"""
165,"Callan, Patrick","=""1:47.68""","=""8/1/2019"""
166,"Pieroni, Blake","=""1:47.68""","=""6/14/2019"""
167,"Smith, Clark","=""1:47.68""","=""6/27/2016"""
168,"House, Grant","=""1:47.69""","=""5/14/2021"""
169,"Seliskar, Andrew","=""1:47.69""","=""4/8/2021"""
171,"Freeman, Trey","=""1:47.70""","=""7/26/2018"""
172,"Litherland, Jay","=""1:47.70""","=""7/26/2018"""
175,"Kibler, Drew","=""1:47.71""","=""8/7/2019"""
180,"Smith, Kieran","=""1:47.72""","=""7/26/2018"""
181,"Julian, Trenton","=""1:47.73""","=""8/1/2019"""
184,"Foster, Carson","=""1:47.74""","=""1/17/2020"""
185,"Haas, Townley","=""1:47.74""","=""6/27/2016"""
186,"Kibler, Drew","=""1:47.74""","=""7/26/2018"""
187,"Litherland, Jay","=""1:47.74""","=""6/28/2017"""
191,"Apple, Zach","=""1:47.76""","=""7/5/2019"""
193,"Farris, Dean","=""1:47.76""","=""8/1/2019"""
194,"Litherland, Jay","=""1:47.76""","=""6/28/2017"""
198,"Lochte, Ryan","=""1:47.77""","=""6/27/2016"""
202,"DeVine, Abrahm","=""1:47.78""","=""7/26/2018"""
203,"D'Arrigo, Mitch","=""1:47.79""","=""6/28/2017"""
204,"D'Arrigo, Mitch","=""1:47.79""","=""8/1/2019"""
205,"Freeman, Trey","=""1:47.79""","=""8/24/2017"""
206,"Bentz, Gunnar","=""1:47.80""","=""6/27/2016"""
207,"Newkirk, Jeff","=""1:47.80""","=""7/26/2018"""
210,"Urlando, Luca","=""1:47.81""","=""5/24/2019"""
215,"D'Arrigo, Mitch","=""1:47.85""","=""8/22/2017"""
217,"Smith, Kieran","=""1:47.85""","=""5/17/2019"""
219,"Bentz, Gunnar","=""1:47.86""","=""6/27/2016"""
221,"Freeman, Trey","=""1:47.86""","=""6/13/2019"""
222,"Haas, Townley","=""1:47.86""","=""12/6/2019"""
223,"Haas, Townley","=""1:47.86""","=""6/9/2017"""
224,"Haas, Townley","=""1:47.86""","=""6/4/2016"""
225,"Shoults, Grant","=""1:47.86""","=""7/26/2018"""
226,"DeVine, Abrahm","=""1:47.88""","=""7/26/2018"""
229,"Seliskar, Andrew","=""1:47.88""","=""5/24/2019"""
231,"Dressel, Caeleb","=""1:47.89""","=""8/9/2018"""
232,"Grothe, Zane","=""1:47.90""","=""5/18/2019"""
233,"Pieroni, Blake","=""1:47.90""","=""8/10/2019"""
235,"Urlando, Luca","=""1:47.91""","=""8/21/2019"""
237,"Grothe, Zane","=""1:47.92""","=""8/8/2017"""
238,"Pieroni, Blake","=""1:47.92""","=""3/8/2019"""
241,"Foster, Carson","=""1:47.93""","=""8/1/2019"""
243,"Pieroni, Blake","=""1:47.93""","=""6/27/2016"""
244,"Theall, Mark","=""1:47.93""","=""8/1/2019"""
246,"Farris, Dean","=""1:47.94""","=""7/26/2018"""
250,"Smith, Clark","=""1:47.97""","=""6/4/2016"""
252,"Rooney, Maxime","=""1:47.98""","=""6/27/2016"""
253,"Shoults, Grant","=""1:47.98""","=""7/26/2018"""
255,"Freeman, Trey","=""1:48.00""","=""6/13/2019"""
257,"Rooney, Maxime","=""1:48.00""","=""12/4/2015"""
258,"Apple, Zach","=""1:48.01""","=""12/6/2019"""
260,"Julian, Trenton","=""1:48.01""","=""5/14/2021"""
261,"Newkirk, Jeff","=""1:48.01""","=""7/26/2018"""
262,"Callan, Patrick","=""1:48.02""","=""8/24/2017"""
263,"Haas, Townley","=""1:48.02""","=""6/13/2019"""
264,"Kibler, Drew","=""1:48.02""","=""8/7/2019"""
265,"Julian, Trenton","=""1:48.03""","=""8/1/2019"""
266,"Kibler, Drew","=""1:48.04""","=""5/21/2021"""
267,"D'Arrigo, Mitch","=""1:48.05""","=""5/18/2016"""
269,"Pieroni, Blake","=""1:48.06""","=""5/14/2021"""
271,"Pieroni, Blake","=""1:48.08""","=""7/7/2018"""
276,"D'Arrigo, Mitch","=""1:48.10""","=""8/21/2017"""
281,"Foster, Carson","=""1:48.11""","=""8/21/2019"""
285,"Foster, Carson","=""1:48.12""","=""4/24/2021"""
286,"Grothe, Zane","=""1:48.12""","=""4/11/2019"""
287,"Pieroni, Blake","=""1:48.12""","=""3/6/2020"""
