="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="29","Dressel, Caeleb",="100",="142221513",="100 FR LCM",="22",="47.90",="47.90",="2020 Olympic Trials Wave II",="2019 CA MVN SMOC",="6/21/2019",="Gator Swim Club",="FL",="",="1033",="56",="Yes"
="30","Adrian, Nathan",="100",="109169155",="100 FR LCM",="27",="47.91",="47.91",="2021 Summer Nationals (LCM)",="2016 Olympic Trials ",="6/29/2016",="California Aquatics",="PC",="",="1033",="56",="Yes"
="30","Dressel, Caeleb",="100",="110499306",="100 FR LCM",="19",="47.91",="47.91",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/9/2016",="Bolles School Sharks",="FL",="",="1033",="56",="Yes"
="32","Condorelli, Santo",="100",="110499525",="100 FR LCM",="21",="47.93",="47.93",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/9/2016",="Unattached",="CA",="Yes",="1032",="56",="Yes"
="33","Adrian, Nathan",="100",="120205888",="100 FR LCM",="28",="47.96",="47.96",="2021 Summer Nationals (LCM)",="2017 Summer Nationals",="6/27/2017",="California Aquatics",="PC",="",="1030",="56",="Yes"
="34","Dressel, Caeleb",="100",="120205940",="100 FR LCM",="20",="47.97",="47.97",="2021 Summer Nationals (LCM)",="2017 Summer Nationals",="6/27/2017",="Bolles School Sharks",="FL",="",="1030",="56",="Yes"
="34","Dressel, Caeleb",="100",="110499533",="100 FR LCM",="19",="47.97",="47.97",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/9/2016",="Bolles School Sharks",="FL",="",="1030",="56",="Yes"
="34","Dressel, Caeleb",="100",="142221512",="100 FR LCM",="22",="47.97",="47.97",="2020 Olympic Trials Wave II",="2019 CA MVN SMOC",="6/21/2019",="Gator Swim Club",="FL",="",="1030",="56",="Yes"
="37","Morozov, Vladimir",="100",="144192165",="100 FR LCM",="27",="47.99",="47.99",="2020 Olympic Trials Wave II",="2019 Word Cup - Budapest",="10/5/2019",="Trojan Swim Club",="CA",="Yes",="1029",="56",="Yes"
="37","Morozov, Vladimir",="100",="143861748",="100 FR LCM",="27",="47.99",="47.99",="2020 Olympic Trials Wave II",="2019 World Cup -  Jinan",="8/9/2019",="Trojan Swim Club",="CA",="Yes",="1029",="56",="Yes"
="39","Adrian, Nathan",="100",="107002701",="100 FR LCM",="27",="48.00",="48.00",="2020 Olympic Trials Wave I",="2016 Pro Series - Mesa",="4/16/2016",="California Aquatics",="PC",="",="1028",="56",="Yes"
="40","Apple, Zach",="100",="143503980",="100 FR LCM",="22",="48.01",="48.01",="2020 Olympic Trials Wave II",="2019 WUGS",="7/8/2019",="Indiana Swim Club",="IN",="",="1028",="56",="Yes"
="41","Dressel, Caeleb",="100",="110526817",="100 FR LCM",="19",="48.02",="48.02",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/10/2016",="Bolles School Sharks",="FL",="",="1027",="56",="Yes"
="41","Morozov, Vladimir",="100",="144401090",="100 FR LCM",="27",="48.02",="48.02",="2020 Olympic Trials Wave II",="2019 World Cup - Berlin",="10/12/2019",="Trojan Swim Club",="CA",="Yes",="1027",="56",="Yes"
="43","Apple, Zach",="100",="133036672",="100 FR LCM",="21",="48.03",="48.03",="2021 Summer Nationals (LCM)",="2018 Pan Pacific Champs",="8/10/2018",="Unattached",="IN",="",="1027",="56",="Yes"
="44","Morozov, Vladimir",="100",="152138322",="100 FR LCM",="26",="48.04",="48.04",="2020 Olympic Trials Wave II",="2019 Russian National Champs",="4/10/2019",="Unattached",="CA",="Yes",="1026",="56",="Yes"
="44","Morozov, Vladimir",="100",="140427530",="100 FR LCM",="26",="48.04",="48.04",="2020 Olympic Trials Wave II",="2019 Russian National Champs",="4/8/2019",="Trojan Swim Club",="CA",="Yes",="1026",="56",="Yes"
="46","Adrian, Nathan",="100",="106029515",="100 FR LCM",="27",="48.05",="48.05",="2020 Olympic Trials Wave I",="2016 Pro Series - Orlando",="3/5/2016",="California Aquatics",="PC",="",="1026",="56",="Yes"
="46","Condorelli, Santo",="100",="102156276",="100 FR LCM",="20",="48.05",="48.05",="2020 Olympic Trials Wave I",="2015 Winter Nationals",="12/5/2015",="Canyons Aquatic Club",="CA",="Yes",="1026",="56",="Yes"
="48","Adrian, Nathan",="100",="107000946",="100 FR LCM",="27",="48.06",="48.06",="2020 Olympic Trials Wave I",="2016 Pro Series - Mesa",="4/16/2016",="California Aquatics",="PC",="",="1025",="56",="Yes"
="48","Apple, Zach",="100",="132597842",="100 FR LCM",="21",="48.06",="48.06",="2021 Summer Nationals (LCM)",="2018 Summer Nationals",="7/25/2018",="Indiana University",="IN",="",="1025",="56",="Yes"
="48","Morozov, Vladimir",="100",="107081880",="100 FR LCM",="23",="48.06",="48.06",="2020 Olympic Trials Wave I",="Russian National Champs",="4/16/2016",="Trojan Swim Club",="CA",="Yes",="1025",="56",="Yes"
="51","Farris, Dean",="100",="143707118",="100 FR LCM",="21",="48.07",="48.07",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="Harvard Swimming",="NE",="",="1025",="56",="Yes"
="52","Pieroni, Blake",="100",="132599649",="100 FR LCM",="22",="48.08",="48.08",="2021 Summer Nationals (LCM)",="2018 Summer Nationals",="7/25/2018",="Mission Viejo Nadadores",="CA",="",="1024",="56",="Yes"
="53","Morozov, Vladimir",="100",="107186055",="100 FR LCM",="23",="48.09",="48.09",="2020 Olympic Trials Wave I",="Russian National Champs",="4/20/2016",="Unattached",="CA",="Yes",="1024",="56",="Yes"
="54","Dressel, Caeleb",="100",="110466633",="100 FR LCM",="19",="48.10r",="48.10",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/7/2016",="Bolles School Sharks",="FL",="",="1023",="56",="Yes"
="55","Chierighini, Marcelo",="100",="149096427",="100 FR LCM",="26",="48.11",="48.11",="2021 Summer Nationals (LCM)",="2017 World Champs",="7/27/2017",="Unattached",="SE",="Yes",="1023",="56",="Yes"
="55","Pieroni, Blake",="100",="133086653",="100 FR LCM",="22",="48.11",="48.11",="2021 Summer Nationals (LCM)",="2019 World Cup - Doha",="9/14/2018",="Unattached",="CA",="",="1023",="56",="Yes"
="57","Chierighini, Marcelo",="100",="110466628",="100 FR LCM",="25",="48.12r",="48.12",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/7/2016",="Auburn Aquatics",="SE",="Yes",="1022",="56",="Yes"
="57","Jackson, Tate",="100",="143705707",="100 FR LCM",="22",="48.12",="48.12",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="Unattached",="ST",="",="1022",="56",="Yes"
="57","Morozov, Vladimir",="100",="143736922",="100 FR LCM",="27",="48.12",="48.12",="2020 Olympic Trials Wave II",="2019 World Cup - Tokyo",="8/3/2019",="Trojan Swim Club",="CA",="Yes",="1022",="56",="Yes"
="60","Dressel, Caeleb",="100",="132972600",="100 FR LCM",="21",="48.13",="48.13",="2021 Summer Nationals (LCM)",="2018 Pan Pacific Champs",="8/10/2018",="Unattached",="FL",="",="1022",="56",="Yes"
="61","Apple, Zach",="100",="120180997",="100 FR LCM",="20",="48.14",="48.14",="2021 Summer Nationals (LCM)",="2017 Summer Nationals",="6/27/2017",="War Eagle Swimming",="SE",="",="1021",="56",="Yes"
="62","Morozov, Vladimir",="100",="145190631",="100 FR LCM",="27",="48.15",="48.15",="2020 Olympic Trials Wave II",="2019 World Cup -  Kazan",="11/2/2019",="Trojan Swim Club",="CA",="Yes",="1021",="56",="Yes"
="62","Pieroni, Blake",="100",="143861750",="100 FR LCM",="23",="48.15",="48.15",="2020 Olympic Trials Wave II",="2019 World Cup -  Jinan",="8/9/2019",="Indiana Swim Club",="IN",="",="1021",="56",="Yes"
="62","Pieroni, Blake",="100",="149090939",="100 FR LCM",="23",="48.15r",="48.15",="2020 Olympic Trials Wave II",="2019 World Champs",="7/27/2019",="Indiana Swim Club",="IN",="",="1021",="56",="Yes"
="65","Condorelli, Santo",="100",="107910107",="100 FR LCM",="21",="48.16",="48.16",="2020 Olympic Trials Wave I",="2016 Canadian Olympic Swimming Trials",="4/8/2016",="Canyons Aquatic Club",="CA",="Yes",="1020",="56",="Yes"
="66","Adrian, Nathan",="100",="108059787",="100 FR LCM",="27",="48.17",="48.17",="2020 Olympic Trials Wave I",="2016 Pro Series -  Santa Clara",="6/5/2016",="California Aquatics",="PC",="",="1020",="56",="Yes"
="66","Adrian, Nathan",="100",="143861065",="100 FR LCM",="30",="48.17",="48.17",="2020 Olympic Trials Wave II",="2019 Pan Am Games",="8/8/2019",="California Aquatics",="PC",="",="1020",="56",="Yes"
="68","Adrian, Nathan",="100",="118212364",="100 FR LCM",="28",="48.18",="48.18",="2021 Summer Nationals (LCM)",="2017 Pro Series - Mesa",="4/13/2017",="California Aquatics",="PC",="",="1019",="56",="Yes"
="69","Chierighini, Marcelo",="100",="107497631",="100 FR LCM",="25",="48.20",="48.20",="2020 Olympic Trials Wave I",="Maria Lenk Trophy - Test Event",="4/18/2016",="Unattached",="SE",="Yes",="1018",="56",="Yes"
="69","Haas, Townley",="100",="120205972",="100 FR LCM",="20",="48.20",="48.20",="2021 Summer Nationals (LCM)",="2017 Summer Nationals",="6/27/2017","NOVA of Virginia Aquatics, Inc",="VA",="",="1018",="56",="Yes"
="69","Jackson, Tate",="100",="132598926",="100 FR LCM",="21",="48.20",="48.20",="2021 Summer Nationals (LCM)",="2018 Summer Nationals",="7/25/2018",="Longhorn Aquatics",="ST",="",="1018",="56",="Yes"
="72","Farris, Dean",="100",="143705648",="100 FR LCM",="21",="48.21",="48.21",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="Harvard Swimming",="NE",="",="1018",="56",="Yes"
="72","Pieroni, Blake",="100",="132972894",="100 FR LCM",="22",="48.21",="48.21",="2021 Summer Nationals (LCM)",="2018 Pan Pacific Champs",="8/10/2018",="Unattached",="CA",="",="1018",="56",="Yes"
="74","Condorelli, Santo",="100",="110499301",="100 FR LCM",="21",="48.22",="48.22",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/9/2016",="Unattached",="CA",="Yes",="1017",="56",="Yes"
="74","Dressel, Caeleb",="100",="132972601",="100 FR LCM",="21",="48.22",="48.22",="2021 Summer Nationals (LCM)",="2018 Pan Pacific Champs",="8/10/2018",="Unattached",="FL",="",="1017",="56",="Yes"
="76","Apple, Zach",="100",="120205893",="100 FR LCM",="20",="48.23",="48.23",="2021 Summer Nationals (LCM)",="2017 Summer Nationals",="6/27/2017",="War Eagle Swimming",="SE",="",="1017",="56",="Yes"
="76","Chierighini, Marcelo",="100",="110499521",="100 FR LCM",="25",="48.23",="48.23",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/9/2016",="Unattached",="SE",="Yes",="1017",="56",="Yes"
="76","Chierighini, Marcelo",="100",="107497632",="100 FR LCM",="25",="48.23",="48.23",="2020 Olympic Trials Wave I",="Maria Lenk Trophy - Test Event",="4/18/2016",="Unattached",="SE",="Yes",="1017",="56",="Yes"
="76","Dressel, Caeleb",="100",="109191362",="100 FR LCM",="19",="48.23",="48.23",="2021 Summer Nationals (LCM)",="2016 Olympic Trials ",="6/30/2016",="Bolles School Sharks",="FL",="",="1017",="56",="Yes"
