="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="84","Haughey, Siobhan",="100",="148832207",="100 FR LCM",="22",="54.19",="54.19",="2020 Olympic Trials Wave II",="2019 U.S. Open",="12/7/2019",="Club Wolverine",="MI",="Yes",="997",="56",="Yes"
="84","Mack, Linnea",="100",="154324242",="100 FR LCM",="25",="54.19",="54.19",="2020 Olympic Trials Wave II",="2021 SI CSTE Time TrialsApril",="4/24/2021",="Team Elite",="NC",="",="997",="56",="Yes"
="86","Hopkin, Anna",="100",="141946819",="100 FR LCM",="23",="54.20",="54.20",="2020 Olympic Trials Wave II",="2019 Trofeu Internacional Ciutat ",="6/15/2019",="University Of Arkansas Swimming",="AR",="Yes",="996",="56",="Yes"
="86","Hopkin, Anna",="100",="143504251",="100 FR LCM",="23",="54.20",="54.20",="2020 Olympic Trials Wave II",="2019 Trofeu Internacional Ciutat ",="6/16/2019",="Unattached",="AR",="Yes",="996",="56",="Yes"
="88","Ledecky, Katie",="100",="154113181",="100 FR LCM",="24",="54.22",="54.22",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - Mis",="4/10/2021",="Nation's Capital Swim Club",="PV",="",="995",="56",="Yes"
="89","Brown, Erika",="100",="152286967",="100 FR LCM",="20",="54.25",="54.25",="2020 Olympic Trials Wave II",="2019 Odprto prvenstvo Slovenije ",="6/16/2019",="Unattached",="SE",="",="994",="56",="Yes"
="89","Ledecky, Katie",="100",="154760389",="100 FR LCM",="24",="54.25",="54.25",="2020 Olympic Trials Wave II",="2021 ST TXLA Longhorn Aquatics Elite Invite",="5/20/2021",="Nation's Capital Swim Club",="PV",="",="994",="56",="Yes"
="89","Walsh, Gretchen",="100",="143947050",="100 FR LCM",="16",="54.25",="54.25",="2020 Olympic Trials Wave II",="2019 World JR Champs",="8/21/2019",="Nashville Aquatic Club",="SE",="",="997",="56",="Yes"
="92","Ledecky, Katie",="100",="154098367",="100 FR LCM",="24",="54.26",="54.26",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - Mis",="4/10/2021",="Nation's Capital Swim Club",="PV",="",="993",="56",="Yes"
="93","Deloof, Catie",="100",="143707107",="100 FR LCM",="22",="54.28",="54.28",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="Unattached",="NC",="",="992",="56",="Yes"
="94","Deloof, Catie",="100",="150558341",="100 FR LCM",="23",="54.29",="54.29",="2020 Olympic Trials Wave II",="2020 Pro Series - Des Moines",="3/5/2020",="Team Elite",="NC",="",="992",="56",="Yes"
="94","Hinds, Natalie",="100",="154098349",="100 FR LCM",="27",="54.29",="54.29",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - Mis",="4/10/2021",="Athens Bulldog Swim Club",="GA",="",="992",="56",="Yes"
="94","Hinds, Natalie",="100",="154582339",="100 FR LCM",="27",="54.29",="54.29",="2020 Olympic Trials Wave II",="2021 GA SwimAtlanta's Mizuno 2021",="5/16/2021",="Athens Bulldog Swim Club",="GA",="",="992",="56",="Yes"
="97","Douglass, Kate",="100",="154560614",="100 FR LCM",="19",="54.30",="54.30",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - Ind",="5/13/2021",="University Of Virginia",="VA",="",="991",="56",="Yes"
="98","Gastaldello, Beryl",="100",="149088843",="100 FR LCM",="24",="54.31",="54.31",="2020 Olympic Trials Wave II",="2019 World Champs",="7/25/2019",="Aggie Swim Club",="GU",="Yes",="991",="56",="Yes"
="99","Deloof, Catie",="100",="154560604",="100 FR LCM",="24",="54.32",="54.32",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - Ind",="5/13/2021",="Cavalier Aquatics/Piedmont Family YMCA",="VA",="",="990",="56",="Yes"
="99","Gastaldello, Beryl",="100",="140552681",="100 FR LCM",="24",="54.32",="54.32",="2020 Olympic Trials Wave II",="2019 Championnats de France Elite",="4/16/2019",="Aggie Swim Club",="GU",="Yes",="990",="56",="Yes"
="99","Gastaldello, Beryl",="100",="152233120",="100 FR LCM",="24",="54.32",="54.32",="2020 Olympic Trials Wave II",="2019 13e Open de France ",="6/18/2019",="Unattached",="GU",="Yes",="990",="56",="Yes"
="99","Gastaldello, Beryl",="100",="152282245",="100 FR LCM",="24",="54.32",="54.32",="2020 Olympic Trials Wave II",="2019 Championnats de France Elite",="4/20/2019",="Unattached",="GU",="Yes",="990",="56",="Yes"
="99","Schmitt, Allison",="100",="148833849",="100 FR LCM",="29",="54.32",="54.32",="2020 Olympic Trials Wave II",="2019 U.S. Open",="12/7/2019",="Sun Devil Swimming",="AZ",="",="990",="56",="Yes"
="104","Deloof, Catie",="100",="152458577",="100 FR LCM",="23",="54.33",="54.33",="2020 Olympic Trials Wave II",="2021 Pro Series - Richmond",="1/17/2021",="Cavalier Aquatics/Piedmont Family YMCA",="VA",="",="990",="56",="Yes"
="105","Geer, Margo",="100",="142419442",="100 FR LCM",="27",="54.34",="54.34",="2020 Olympic Trials Wave II",="2019 GA Bulldog Grand Slam",="6/23/2019",="Unattached",="CA",="",="989",="56",="Yes"
="105","Hinds, Natalie",="100",="143707157",="100 FR LCM",="25",="54.34",="54.34",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="Athens Bulldog Swim Club",="GA",="",="989",="56",="Yes"
