="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="28","Morozov, Vladimir",="100",="143736922",="100 FR LCM",="27",="48.12",="48.12",="2020 Olympic Trials Wave II",="2019 World Cup - Tokyo",="8/3/2019",="Trojan Swim Club",="CA",="Yes",="1022",="56",="Yes"
="30","Morozov, Vladimir",="100",="145190631",="100 FR LCM",="27",="48.15",="48.15",="2020 Olympic Trials Wave II",="2019 World Cup -  Kazan",="11/2/2019",="Trojan Swim Club",="CA",="Yes",="1021",="56",="Yes"
="30","Pieroni, Blake",="100",="143861750",="100 FR LCM",="23",="48.15",="48.15",="2020 Olympic Trials Wave II",="2019 World Cup -  Jinan",="8/9/2019",="Indiana Swim Club",="IN",="",="1021",="56",="Yes"
="30","Pieroni, Blake",="100",="149090939",="100 FR LCM",="23",="48.15r",="48.15",="2020 Olympic Trials Wave II",="2019 World Champs",="7/27/2019",="Indiana Swim Club",="IN",="",="1021",="56",="Yes"
="33","Adrian, Nathan",="100",="143861065",="100 FR LCM",="30",="48.17",="48.17",="2020 Olympic Trials Wave II",="2019 Pan Am Games",="8/8/2019",="California Aquatics",="PC",="",="1020",="56",="Yes"
="34","Farris, Dean",="100",="143705648",="100 FR LCM",="21",="48.21",="48.21",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="Harvard Swimming",="NE",="",="1018",="56",="Yes"
="35","Jackson, Tate",="100",="143504274",="100 FR LCM",="22",="48.29",="48.29",="2020 Olympic Trials Wave II",="2019 WUGS",="7/8/2019",="Unattached",="ST",="",="1014",="56",="Yes"
="36","Pieroni, Blake",="100",="143736930",="100 FR LCM",="23",="48.31",="48.31",="2020 Olympic Trials Wave II",="2019 World Cup - Tokyo",="8/3/2019",="Indiana Swim Club",="IN",="",="1013",="56",="Yes"
="36","Pieroni, Blake",="100",="149089973",="100 FR LCM",="23",="48.31",="48.31",="2020 Olympic Trials Wave II",="2019 World Champs",="7/24/2019",="Indiana Swim Club",="IN",="",="1013",="56",="Yes"
="38","Jackson, Tate",="100",="143708914",="100 FR LCM",="22",="48.36r",="48.36",="2020 Olympic Trials Wave II",="2019 WUGS",="7/4/2019",="Unattached",="ST",="",="1010",="56",="Yes"
="39","Howard, Robert",="100",="143705700",="100 FR LCM",="23",="48.37",="48.37",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="Mission Viejo Nadadores",="CA",="",="1010",="56",="Yes"
="40","Pieroni, Blake",="100",="143736929",="100 FR LCM",="23",="48.43",="48.43",="2020 Olympic Trials Wave II",="2019 World Cup - Tokyo",="8/3/2019",="Indiana Swim Club",="IN",="",="1007",="56",="Yes"
="41","Dressel, Caeleb",="100",="141227768",="100 FR LCM",="22",="48.45",="48.45",="2020 Olympic Trials Wave II",="2019 GA Atlanta Classic Swim Meet",="5/19/2019",="Gator Swim Club",="FL",="",="1006",="56",="Yes"
="41","Farris, Dean",="100",="148831804",="100 FR LCM",="22",="48.45",="48.45",="2020 Olympic Trials Wave II",="2019 U.S. Open",="12/7/2019",="Harvard Swimming",="NE",="",="1006",="56",="Yes"
="43","Conger, Jack",="100",="143705605",="100 FR LCM",="24",="48.47",="48.47",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="Cavalier Swimming",="VA",="",="1005",="56",="Yes"
="44","Adrian, Nathan",="100",="142150193",="100 FR LCM",="30",="48.50",="48.50",="2020 Olympic Trials Wave II",="2019 PC CAL-ALTO Dual",="6/22/2019",="California Aquatics",="PC",="",="1003",="56",="Yes"
="44","Minakov, Andrei",="100",="140427529",="100 FR LCM",="17",="48.50",="48.50",="2020 Olympic Trials Wave II",="2019 Russian National Champs",="4/8/2019",="Terrapins Swim Team",="PC",="Yes",="1014",="56",="Yes"
="44","Minakov, Andrei",="100",="152237140",="100 FR LCM",="17",="48.50",="48.50",="2020 Olympic Trials Wave II",="2019 Russian National Champs",="4/10/2019",="Unattached",="PC",="Yes",="1014",="56",="Yes"
="44","Morozov, Vladimir",="100",="145500571",="100 FR LCM",="27",="48.50",="48.50",="2020 Olympic Trials Wave II",="2019 World Cup - Doha",="11/8/2019",="Trojan Swim Club",="CA",="Yes",="1003",="56",="Yes"
="48","Carter, Dylan",="100",="149088434",="100 FR LCM",="23",="48.52",="48.52",="2020 Olympic Trials Wave II",="2019 World Champs",="7/24/2019",="Unattached",="CA",="Yes",="1002",="56",="Yes"
="49","Krueger, Danny",="100",="143707182",="100 FR LCM",="20",="48.55",="48.55",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="Longhorn Aquatics",="ST",="",="1001",="56",="Yes"
="50","Barna, Andrej",="100",="154174203",="100 FR LCM",="23",="48.58",="48.58",="2020 Olympic Trials Wave II",="2021 KY Louisville Spring Meet",="4/17/2021",="Unattached",="KY",="Yes",="999",="56",="Yes"
="50","Burras, Lewis",="100",="143707082",="100 FR LCM",="19",="48.58",="48.58",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="Gamecock Aquatics",="SC",="Yes",="999",="56",="Yes"
="50","Morozov, Vladimir",="100",="140414730",="100 FR LCM",="26",="48.58",="48.58",="2020 Olympic Trials Wave II",="2019 Russian National Champs",="4/8/2019",="Trojan Swim Club",="CA",="Yes",="999",="56",="Yes"
="50","Morozov, Vladimir",="100",="152138321",="100 FR LCM",="26",="48.58",="48.58",="2020 Olympic Trials Wave II",="2019 Russian National Champs",="4/9/2019",="Unattached",="CA",="Yes",="999",="56",="Yes"
="54","Apple, Zach",="100",="150579987",="100 FR LCM",="22",="48.59",="48.59",="2020 Olympic Trials Wave II",="2020 Pro Series - Des Moines",="3/5/2020",="Mission Viejo Nadadores",="CA",="",="999",="56",="Yes"
="55","Haas, Townley",="100",="149090935",="100 FR LCM",="22",="48.60r",="48.60",="2020 Olympic Trials Wave II",="2019 World Champs",="7/21/2019","NOVA of Virginia Aquatics, Inc",="VA",="",="998",="56",="Yes"
="56","Adrian, Nathan",="100",="150579979",="100 FR LCM",="31",="48.62",="48.62",="2020 Olympic Trials Wave II",="2020 Pro Series - Des Moines",="3/5/2020",="California Aquatics",="PC",="",="997",="56",="Yes"
="57","Dressel, Caeleb",="100",="149797238",="100 FR LCM",="23",="48.63",="48.63",="2020 Olympic Trials Wave II",="2020 FL Swimming OT Qualifier",="2/17/2020",="Gator Swim Club",="FL",="",="997",="56",="Yes"
="58","Conger, Jack",="100",="143707093",="100 FR LCM",="24",="48.64",="48.64",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="Cavalier Swimming",="VA",="",="996",="56",="Yes"
="59","Krueger, Danny",="100",="143705730",="100 FR LCM",="20",="48.66",="48.66",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="Longhorn Aquatics",="ST",="",="995",="56",="Yes"
="60","Dressel, Caeleb",="100",="154581914",="100 FR LCM",="24",="48.67",="48.67",="2020 Olympic Trials Wave II",="2021 GA SwimAtlanta's Mizuno 2021",="5/15/2021",="Gator Swim Club",="FL",="",="995",="56",="Yes"
="61","Dressel, Caeleb",="100",="150580061",="100 FR LCM",="23",="48.68",="48.68",="2020 Olympic Trials Wave II",="2020 Pro Series - Des Moines",="3/5/2020",="Gator Swim Club",="FL",="",="994",="56",="Yes"
="61","Held, Ryan",="100",="154126534",="100 FR LCM",="25",="48.68",="48.68",="2020 Olympic Trials Wave II",="2021 SE BSL Iron City Invite",="4/11/2021",="New York Athletic Club",="MR",="",="994",="56",="Yes"
="63","Apple, Zach",="100",="142065368",="100 FR LCM",="22",="48.69",="48.69",="2020 Olympic Trials Wave II",="2019 IN ISI Counsilman Classic",="6/13/2019",="Indiana Swim Club",="IN",="",="994",="56",="Yes"
="64","Chadwick, Michael",="100",="141912088",="100 FR LCM",="24",="48.70",="48.70",="2020 Olympic Trials Wave II",="2019 Pro Series - Clovis",="6/15/2019",="Team Elite",="NC",="",="993",="56",="Yes"
="64","Held, Ryan",="100",="140435141",="100 FR LCM",="23",="48.70",="48.70",="2020 Olympic Trials Wave II",="2019 Pro Series - Richmond",="4/13/2019",="Unattached",="MR",="",="993",="56",="Yes"
