="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="1","Manuel, Simone",="100",="149090952",="100 FR LCM",="22",="52.04",="52.04",="2020 Olympic Trials Wave II",="2019 World Champs",="7/26/2019",="Alto Swim Club",="PC",="",="1104",="56",="Yes"
="2","Manuel, Simone",="100",="149097540",="100 FR LCM",="20",="52.27",="52.27",="2021 Summer Nationals (LCM)",="2017 World Champs",="7/28/2017",="Unattached",="PC",="",="1093",="56",="Yes"
="3","Manuel, Simone",="100",="132599313",="100 FR LCM",="21",="52.54",="52.54",="2021 Summer Nationals (LCM)",="2018 Summer Nationals",="7/25/2018",="Stanford Swimming",="PC",="",="1079",="56",="Yes"
="4","Comerford, Mallory",="100",="149100046",="100 FR LCM",="19",="52.59r",="52.59",="2021 Summer Nationals (LCM)",="2017 World Champs",="7/23/2017",="University of Louisville",="KY",="",="1076",="56",="Yes"
="5","Manuel, Simone",="100",="132972808",="100 FR LCM",="22",="52.66",="52.66",="2021 Summer Nationals (LCM)",="2018 Pan Pacific Champs",="8/10/2018",="Unattached",="PC",="",="1073",="56",="Yes"
="6","Manuel, Simone",="100",="149097542",="100 FR LCM",="20",="52.69",="52.69",="2021 Summer Nationals (LCM)",="2017 World Champs",="7/27/2017",="Unattached",="PC",="",="1071",="56",="Yes"
="7","Manuel, Simone",="100",="110530561",="100 FR LCM",="20",="52.70",="52.70",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/11/2016",="Stanford Swimming",="PC",="",="1071",="56",="Yes"
="7","Oleksiak, Penny",="100",="110530631",="100 FR LCM",="16",="52.70",="52.70",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/11/2016",="Unattached",="FG",="Yes",="1074",="56",="Yes"
="9","Oleksiak, Penny",="100",="110527602",="100 FR LCM",="16",="52.72",="52.72",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/10/2016",="Unattached",="FG",="Yes",="1073",="56",="Yes"
="10","Comerford, Mallory",="100",="149096472",="100 FR LCM",="19",="52.77",="52.77",="2021 Summer Nationals (LCM)",="2017 World Champs",="7/28/2017",="Unattached",="KY",="",="1067",="56",="Yes"
="11","Comerford, Mallory",="100",="120205924",="100 FR LCM",="19",="52.81",="52.81",="2021 Summer Nationals (LCM)",="2017 Summer Nationals",="6/27/2017",="University of Louisville",="KY",="",="1065",="56",="Yes"
="12","Comerford, Mallory",="100",="149096474",="100 FR LCM",="19",="52.85",="52.85",="2021 Summer Nationals (LCM)",="2017 World Champs",="7/27/2017",="Unattached",="KY",="",="1063",="56",="Yes"
