,full_name,swim_time_formatted,swim_date
181,"Conger, Jack","=""48.64""","=""7/31/2019"""
184,"Held, Ryan","=""48.65""","=""7/25/2018"""
187,"Pieroni, Blake","=""48.65""","=""6/27/2017"""
188,"Adrian, Nathan","=""48.66""","=""3/2/2017"""
191,"Held, Ryan","=""48.66""","=""6/27/2017"""
192,"Krueger, Danny","=""48.66""","=""7/31/2019"""
193,"Dressel, Caeleb","=""48.67""","=""5/15/2021"""
194,"Held, Ryan","=""48.67""","=""8/23/2017"""
195,"Howard, Robert","=""48.67""","=""7/25/2018"""
197,"Dressel, Caeleb","=""48.68""","=""3/5/2020"""
201,"Held, Ryan","=""48.68""","=""4/11/2021"""
204,"Adrian, Nathan","=""48.69""","=""5/17/2018"""
205,"Adrian, Nathan","=""48.69""","=""8/9/2017"""
206,"Apple, Zach","=""48.69""","=""6/13/2019"""
207,"Chadwick, Michael","=""48.69""","=""6/4/2017"""
209,"Dressel, Caeleb","=""48.69""","=""6/29/2016"""
210,"Haas, Townley","=""48.69""","=""8/10/2018"""
211,"Chadwick, Michael","=""48.70""","=""6/15/2019"""
212,"Dressel, Caeleb","=""48.70""","=""7/25/2018"""
213,"Held, Ryan","=""48.70""","=""4/13/2019"""
217,"Dressel, Caeleb","=""48.71""","=""3/7/2019"""
219,"Howard, Robert","=""48.71""","=""7/31/2019"""
221,"Jackson, Tate","=""48.72""","=""3/5/2020"""
224,"Adrian, Nathan","=""48.74""","=""4/10/2021"""
225,"Adrian, Nathan","=""48.74""","=""4/28/2017"""
226,"Dressel, Caeleb","=""48.74""","=""6/3/2016"""
227,"Ress, Justin","=""48.74""","=""7/25/2018"""
229,"Adrian, Nathan","=""48.75""","=""1/12/2018"""
234,"Jensen, Michael","=""48.75""","=""7/25/2018"""
236,"Apple, Zach","=""48.76""","=""5/17/2019"""
238,"Conger, Jack","=""48.76""","=""7/12/2018"""
240,"Jackson, Tate","=""48.76""","=""4/13/2019"""
241,"Pieroni, Blake","=""48.76""","=""5/13/2021"""
245,"Held, Ryan","=""48.78""","=""7/25/2018"""
247,"Pieroni, Blake","=""48.78""","=""5/13/2021"""
248,"Pieroni, Blake","=""48.78""","=""6/30/2016"""
251,"Jackson, Tate","=""48.79""","=""7/25/2018"""
254,"Conger, Jack","=""48.80""","=""3/1/2018"""
256,"Pieroni, Blake","=""48.80""","=""6/13/2019"""
257,"Seliskar, Andrew","=""48.80""","=""8/3/2019"""
258,"Dressel, Caeleb","=""48.82""","=""4/10/2021"""
261,"Apple, Zach","=""48.83""","=""7/7/2019"""
262,"Chadwick, Michael","=""48.83""","=""4/13/2019"""
263,"Seliskar, Andrew","=""48.83""","=""8/3/2019"""
264,"Adrian, Nathan","=""48.84""","=""4/13/2018"""
265,"Apple, Zach","=""48.84""","=""7/7/2019"""
266,"Dressel, Caeleb","=""48.84""","=""3/27/2021"""
268,"Becker, Bowe","=""48.85""","=""8/3/2019"""
270,"Apple, Zach","=""48.86""","=""12/7/2019"""
272,"Molacek, Jacob","=""48.86""","=""7/19/2019"""
273,"Pieroni, Blake","=""48.86""","=""5/17/2019"""
278,"Krueger, Danny","=""48.87""","=""7/25/2018"""
281,"Chadwick, Michael","=""48.88""","=""8/3/2017"""
282,"Chadwick, Michael","=""48.88""","=""8/8/2019"""
284,"Howard, Robert","=""48.88""","=""7/25/2018"""
285,"Murphy, Ryan","=""48.88""","=""6/27/2017"""
287,"Apple, Zach","=""48.89""","=""3/28/2021"""
290,"Ress, Justin","=""48.89""","=""7/25/2018"""
294,"Adrian, Nathan","=""48.91""","=""1/15/2016"""
295,"Adrian, Nathan","=""48.91""","=""5/13/2021"""
296,"Haas, Townley","=""48.91""","=""12/7/2019"""
297,"Pieroni, Blake","=""48.91""","=""3/7/2019"""
303,"Apple, Zach","=""48.93""","=""3/5/2020"""
308,"Chadwick, Michael","=""48.94""","=""8/6/2019"""
309,"Chadwick, Michael","=""48.94""","=""8/8/2019"""
312,"Jackson, Tate","=""48.94""","=""4/13/2019"""
318,"Chadwick, Michael","=""48.96""","=""6/30/2016"""
319,"Dressel, Caeleb","=""48.96""","=""6/9/2018"""
321,"Farris, Dean","=""48.97""","=""3/5/2020"""
322,"Jensen, Michael","=""48.97""","=""7/25/2018"""
323,"Adrian, Nathan","=""48.98""","=""5/15/2016"""
324,"Adrian, Nathan","=""48.98""","=""4/10/2021"""
325,"Apple, Zach","=""48.98""","=""1/19/2020"""
326,"Murphy, Ryan","=""48.98""","=""7/25/2018"""
327,"Adrian, Nathan","=""48.99""","=""6/9/2018"""
329,"Held, Ryan","=""48.99""","=""3/5/2020"""
330,"Jackson, Tate","=""48.99""","=""8/2/2017"""
333,"Seliskar, Andrew","=""48.99""","=""8/10/2018"""
334,"Becker, Bowe","=""49.00""","=""7/31/2019"""
339,"Held, Ryan","=""49.00""","=""11/14/2020"""
340,"Pieroni, Blake","=""49.00""","=""3/5/2020"""
342,"Rooney, Maxime","=""49.00""","=""6/27/2017"""
343,"Chadwick, Michael","=""49.01""","=""6/22/2018"""
345,"Pieroni, Blake","=""49.01""","=""9/8/2018"""
349,"Chadwick, Michael","=""49.02""","=""6/27/2017"""
350,"Farris, Dean","=""49.02""","=""12/7/2019"""
354,"Chadwick, Michael","=""49.03""","=""3/6/2020"""
356,"Held, Ryan","=""49.03""","=""5/1/2021"""
357,"Held, Ryan","=""49.03""","=""5/13/2021"""
360,"Howard, Robert","=""49.04""","=""8/2/2017"""
361,"Pieroni, Blake","=""49.04""","=""7/6/2018"""
362,"Pieroni, Blake","=""49.04""","=""5/17/2018"""
366,"Jackson, Tate","=""49.05""","=""7/7/2019"""
370,"Curry, Brooks","=""49.06""","=""5/1/2021"""
374,"Ress, Justin","=""49.06""","=""4/9/2021"""
375,"Adrian, Nathan","=""49.07""","=""11/21/2020"""
378,"Jackson, Tate","=""49.07""","=""12/7/2019"""
380,"Pieroni, Blake","=""49.07""","=""6/29/2016"""
383,"Farris, Dean","=""49.08""","=""7/25/2018"""
391,"Held, Ryan","=""49.09""","=""1/19/2020"""
392,"Howard, Robert","=""49.09""","=""5/17/2019"""
396,"Held, Ryan","=""49.10""","=""6/23/2019"""
401,"Jackson, Tate","=""49.11""","=""8/2/2017"""
403,"Pieroni, Blake","=""49.11""","=""3/7/2019"""
404,"Seliskar, Andrew","=""49.11""","=""3/5/2020"""
405,"Smith, Kieran","=""49.11""","=""7/31/2019"""
409,"Apple, Zach","=""49.13""","=""4/10/2021"""
412,"Pieroni, Blake","=""49.13""","=""5/17/2018"""
413,"Rooney, Maxime","=""49.13""","=""12/5/2015"""
415,"Howard, Robert","=""49.14""","=""12/7/2019"""
416,"Ress, Justin","=""49.14""","=""7/6/2018"""
417,"Rooney, Maxime","=""49.14""","=""6/29/2016"""
421,"Ress, Justin","=""49.15""","=""6/27/2017"""
422,"Stewart, Coleman","=""49.15""","=""7/25/2018"""
428,"Rooney, Maxime","=""49.16""","=""8/23/2017"""
429,"Rooney, Maxime","=""49.16""","=""8/24/2017"""
431,"Casas, Shaine","=""49.17""","=""7/31/2019"""
432,"Chadwick, Michael","=""49.17""","=""4/13/2018"""
433,"Chadwick, Michael","=""49.17""","=""1/12/2019"""
435,"Molacek, Jacob","=""49.17""","=""7/25/2018"""
436,"Molacek, Jacob","=""49.17""","=""7/21/2019"""
439,"Craig, Cameron","=""49.18""","=""6/27/2017"""
442,"Grevers, Matt","=""49.18""","=""6/27/2017"""
444,"Krueger, Danny","=""49.18""","=""7/25/2018"""
445,"Novak, Jesse","=""49.18""","=""7/31/2019"""
446,"Pieroni, Blake","=""49.18""","=""5/5/2017"""
447,"Ress, Justin","=""49.18""","=""5/17/2018"""
448,"Ress, Justin","=""49.18""","=""1/17/2021"""
450,"Howard, Robert","=""49.19""","=""8/2/2017"""
451,"Jackson, Tate","=""49.19""","=""7/7/2019"""
454,"Pieroni, Blake","=""49.19""","=""3/4/2021"""
456,"Rooney, Maxime","=""49.19""","=""6/27/2017"""
459,"Dressel, Caeleb","=""49.20""","=""3/5/2016"""
461,"Jackson, Tate","=""49.20""","=""1/17/2019"""
463,"Magahey, Jake","=""49.20""","=""7/31/2019"""
464,"Ress, Justin","=""49.20""","=""7/6/2018"""
466,"Becker, Bowe","=""49.21""","=""7/31/2019"""
467,"Chadwick, Michael","=""49.21""","=""3/4/2021"""
470,"Held, Ryan","=""49.21""","=""5/13/2021"""
471,"Held, Ryan","=""49.21""","=""3/5/2020"""
474,"Murphy, Ryan","=""49.21""","=""6/27/2017"""
476,"Chadwick, Michael","=""49.22""","=""5/13/2021"""
478,"Jensen, Michael","=""49.22""","=""6/27/2017"""
494,"Bustos, Arsenio","=""49.25""","=""3/27/2021"""
495,"Chadwick, Michael","=""49.25""","=""4/13/2019"""
501,"Rooney, Maxime","=""49.25""","=""8/2/2017"""
502,"Smith, Kieran","=""49.25""","=""7/31/2019"""
504,"Adrian, Nathan","=""49.26""","=""1/15/2016"""
505,"Dressel, Caeleb","=""49.26""","=""6/2/2017"""
507,"Pieroni, Blake","=""49.26""","=""11/8/2019"""
508,"Pieroni, Blake","=""49.26""","=""7/6/2018"""
509,"Rooney, Maxime","=""49.26""","=""6/29/2016"""
510,"Chadwick, Michael","=""49.27""","=""12/1/2018"""
511,"Chaney, Adam","=""49.27""","=""8/25/2019"""
513,"Held, Ryan","=""49.27""","=""3/7/2019"""
514,"Jensen, Michael","=""49.27""","=""6/27/2017"""
517,"Chadwick, Michael","=""49.28""","=""5/26/2019"""
518,"Chadwick, Michael","=""49.28""","=""6/9/2018"""
520,"Kibler, Drew","=""49.28""","=""7/25/2018"""
521,"Kibler, Drew","=""49.28""","=""7/31/2019"""
522,"Kibler, Drew","=""49.28""","=""5/20/2021"""
526,"Chadwick, Michael","=""49.29""","=""5/13/2021"""
527,"Farris, Dean","=""49.29""","=""5/19/2019"""
530,"Pieroni, Blake","=""49.29""","=""5/5/2017"""
535,"Chadwick, Michael","=""49.30""","=""12/7/2019"""
538,"Howard, Robert","=""49.30""","=""5/17/2019"""
543,"Adrian, Nathan","=""49.31""","=""12/5/2015"""
544,"Adrian, Nathan","=""49.31""","=""5/17/2019"""
545,"Alexy, Jack","=""49.31""","=""5/21/2021"""
551,"Adrian, Nathan","=""49.32""","=""3/2/2017"""
552,"Apple, Zach","=""49.32""","=""5/13/2021"""
553,"Becker, Bowe","=""49.32""","=""6/27/2017"""
559,"Held, Ryan","=""49.32""","=""1/13/2017"""
566,"Howard, Robert","=""49.33""","=""6/24/2018"""
