,full_name,swim_time_formatted,meet_name,swim_date
115,"Farris, Dean","=""48.45""","=""2019 U.S. Open""","=""12/7/2019"""
116,"Adrian, Nathan","=""48.46""","=""2017 World Champs""","=""7/26/2017"""
120,"Held, Ryan","=""48.46""","=""2016 Olympic Trials ""","=""6/29/2016"""
121,"Adrian, Nathan","=""48.47""","=""2018 Pan Pacific Champs""","=""8/10/2018"""
122,"Apple, Zach","=""48.47""","=""2018 Pan Pacific Champs""","=""8/10/2018"""
124,"Conger, Jack","=""48.47""","=""2019 Summer Nationals""","=""7/31/2019"""
125,"Chadwick, Michael","=""48.48""","=""2017 Summer Nationals""","=""6/27/2017"""
128,"Held, Ryan","=""48.48""","=""2016 Olympic Trials ""","=""6/29/2016"""
129,"Adrian, Nathan","=""48.49""","=""2015 Pro Series - Minneapolis ""","=""11/14/2015"""
130,"Pieroni, Blake","=""48.49""","=""2017 Summer Nationals""","=""6/27/2017"""
131,"Adrian, Nathan","=""48.50""","=""2019 PC CAL-ALTO Dual""","=""6/22/2019"""
132,"Dressel, Caeleb","=""48.50""","=""2018 Summer Nationals""","=""7/25/2018"""
135,"Held, Ryan","=""48.50""","=""2017 WUGS""","=""8/23/2017"""
142,"Farris, Dean","=""48.52""","=""2018 Summer Nationals""","=""7/25/2018"""
144,"Dressel, Caeleb","=""48.53""","=""2016 Olympic Trials ""","=""6/29/2016"""
145,"Held, Ryan","=""48.53""","=""2017 Summer Nationals""","=""6/27/2017"""
148,"Adrian, Nathan","=""48.55""","=""2017 Pro Swim - Santa Clara""","=""6/2/2017"""
150,"Krueger, Daniel","=""48.55""","=""2019 Summer Nationals""","=""7/31/2019"""
153,"Dressel, Caeleb","=""48.56""","=""2017 Summer Nationals""","=""6/27/2017"""
154,"Haas, Townley","=""48.56""","=""2017 Summer Nationals""","=""6/27/2017"""
155,"Rooney, Maxime","=""48.56""","=""2018 Summer Nationals""","=""7/25/2018"""
156,"Chadwick, Michael","=""48.57""","=""2018 Winter Nationals""","=""12/1/2018"""
158,"Adrian, Nathan","=""48.58""","=""2016 Olympic Games""","=""8/9/2016"""
159,"Adrian, Nathan","=""48.58""","=""2018 Pro Series - Atlanta ""","=""3/1/2018"""
166,"Adrian, Nathan","=""48.59""","=""2018 Winter Nationals""","=""12/1/2018"""
167,"Apple, Zach","=""48.59""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
169,"Adrian, Nathan","=""48.60""","=""2015 Winter Nationals""","=""12/5/2015"""
170,"Chadwick, Michael","=""48.60""","=""2018 Summer Nationals""","=""7/25/2018"""
175,"Adrian, Nathan","=""48.62""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
176,"Adrian, Nathan","=""48.62""","=""2017 Summer Nationals""","=""6/27/2017"""
177,"Haas, Townley","=""48.62""","=""2018 Summer Nationals""","=""7/25/2018"""
178,"Dressel, Caeleb","=""48.63""","=""2020 FL Swimming OT Qualifier""","=""2/17/2020"""
180,"Conger, Jack","=""48.64""","=""2019 Summer Nationals""","=""7/31/2019"""
183,"Held, Ryan","=""48.65""","=""2018 Summer Nationals""","=""7/25/2018"""
186,"Pieroni, Blake","=""48.65""","=""2017 Summer Nationals""","=""6/27/2017"""
187,"Adrian, Nathan","=""48.66""","=""2017 Pro Series - Indianapolis""","=""3/2/2017"""
190,"Held, Ryan","=""48.66""","=""2017 Summer Nationals""","=""6/27/2017"""
191,"Krueger, Daniel","=""48.66""","=""2019 Summer Nationals""","=""7/31/2019"""
192,"Held, Ryan","=""48.67""","=""2017 WUGS""","=""8/23/2017"""
193,"Howard, Robert","=""48.67""","=""2018 Summer Nationals""","=""7/25/2018"""
195,"Dressel, Caeleb","=""48.68""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
199,"Held, Ryan","=""48.68""","=""2021 SE BSL Iron City Invite""","=""4/11/2021"""
202,"Adrian, Nathan","=""48.69""","=""2018 Pro Series - Indianapolis""","=""5/17/2018"""
203,"Adrian, Nathan","=""48.69""","=""2017 Energy for Swim - Rome""","=""8/9/2017"""
204,"Apple, Zach","=""48.69""","=""2019 IN ISI Counsilman Classic""","=""6/13/2019"""
205,"Chadwick, Michael","=""48.69""","=""2017 NC SwimMAC UltraSwim""","=""6/4/2017"""
207,"Dressel, Caeleb","=""48.69""","=""2016 Olympic Trials ""","=""6/29/2016"""
208,"Haas, Townley","=""48.69""","=""2018 Pan Pacific Champs""","=""8/10/2018"""
209,"Chadwick, Michael","=""48.70""","=""2019 Pro Series - Clovis""","=""6/15/2019"""
210,"Dressel, Caeleb","=""48.70""","=""2018 Summer Nationals""","=""7/25/2018"""
211,"Held, Ryan","=""48.70""","=""2019 Pro Series - Richmond""","=""4/13/2019"""
215,"Dressel, Caeleb","=""48.71""","=""2019 Pro Series - Des Moines""","=""3/7/2019"""
217,"Howard, Robert","=""48.71""","=""2019 Summer Nationals""","=""7/31/2019"""
219,"Jackson, Tate","=""48.72""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
222,"Adrian, Nathan","=""48.74""","=""2017 CA TYR/MVN Fran Crippen ""","=""4/28/2017"""
223,"Adrian, Nathan","=""48.74""","=""2021 TYR Pro Swim Series - Mis""","=""4/10/2021"""
224,"Dressel, Caeleb","=""48.74""","=""2016 SE June Invite""","=""6/3/2016"""
225,"Ress, Justin","=""48.74""","=""2018 Summer Nationals""","=""7/25/2018"""
227,"Adrian, Nathan","=""48.75""","=""2018 Pro Series - Austin ""","=""1/12/2018"""
232,"Jensen, Michael","=""48.75""","=""2018 Summer Nationals""","=""7/25/2018"""
234,"Apple, Zach","=""48.76""","=""2019 Pro Series - Bloomington""","=""5/17/2019"""
236,"Conger, Jack","=""48.76""","=""2018 Sectionals - Austin""","=""7/12/2018"""
238,"Jackson, Tate","=""48.76""","=""2019 Pro Series - Richmond""","=""4/13/2019"""
