,full_name,swim_time_formatted,meet_name,swim_date
625,"Krueger, Daniel","=""49.44""","=""2017 Summer Nationals""","=""6/27/2017"""
626,"Krueger, Daniel","=""49.44""","=""2017 World JR Champs ""","=""8/27/2017"""
627,"Apple, Zach","=""49.45""","=""2018 Pro Series - Santa Clara ""","=""6/9/2018"""
628,"Apple, Zach","=""49.45""","=""2020 Pro Series - Knoxville""","=""1/19/2020"""
629,"Conger, Jack","=""49.45""","=""2019 Pro Series - Richmond""","=""4/13/2019"""
630,"Craig, Cameron","=""49.45""","=""2016 Jr Pan Pacific Champs""","=""8/25/2016"""
631,"Farris, Dean","=""49.45""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
632,"Held, Ryan","=""49.45""","=""2019 Pro Series - Richmond""","=""4/13/2019"""
633,"Held, Ryan","=""49.45""","=""2017 Pro Series - Austin ""","=""1/13/2017"""
634,"Howard, Robert","=""49.45""","=""2019 U.S. Open""","=""12/7/2019"""
635,"Kibler, Drew","=""49.45""","=""2019 Sectionals - Austin""","=""7/11/2019"""
636,"Pebley, Jacob","=""49.45""","=""2017 Summer Nationals""","=""6/27/2017"""
637,"Pieroni, Blake","=""49.45""","=""2019 World Cup -  Jinan""","=""8/9/2019"""
644,"Becker, Bowe","=""49.46""","=""2017 Summer Nationals""","=""6/27/2017"""
647,"Jackson, Tate","=""49.46""","=""2019 Pro Series - Clovis""","=""6/15/2019"""
653,"Newkirk, Jeff","=""49.46""","=""2019 Summer Nationals""","=""7/31/2019"""
658,"Held, Ryan","=""49.47""","=""2020 Pro Series - Knoxville""","=""1/19/2020"""
659,"House, Grant","=""49.47""","=""2020 Toyota Irvine""","=""11/14/2020"""
660,"Krueger, Daniel","=""49.47""","=""2017 Summer Nationals""","=""6/27/2017"""
665,"Ress, Justin","=""49.47""","=""2018 Pro Series - Indianapolis""","=""5/17/2018"""
669,"Chadwick, Michael","=""49.48""","=""2020 Janis Hape Dowd Invite""","=""12/6/2020"""
670,"Conger, Jack","=""49.48""","=""2019 Pro Series - Des Moines""","=""3/7/2019"""
672,"Held, Ryan","=""49.48""","=""2019 Pro Series - Des Moines""","=""3/7/2019"""
673,"Held, Ryan","=""49.48""","=""Mare Nostrum Monaco""","=""6/16/2018"""
674,"Hoffer, Ryan","=""49.48""","=""2019 Summer Nationals""","=""7/31/2019"""
680,"Ress, Justin","=""49.48""","=""2017 GA Atlanta Classic Swim Meet""","=""5/14/2017"""
682,"Apple, Zach","=""49.49""","=""2021 TYR Pro Swim Series - San""","=""3/4/2021"""
686,"Krueger, Daniel","=""49.49""","=""2019 Sectionals - Austin""","=""7/11/2019"""
690,"Ress, Justin","=""49.49""","=""2021 Pro Series - Richmond""","=""1/17/2021"""
691,"Conger, Jack","=""49.50""","=""2019 Pro Series - Des Moines""","=""3/7/2019"""
692,"Conger, Jack","=""49.50""","=""2016 ST TXLA Longhorn Aquatics Elite Invite""","=""6/3/2016"""
699,"Adrian, Nathan","=""49.51""","=""2016 Pro Series - Orlando""","=""3/5/2016"""
700,"Apple, Zach","=""49.51""","=""2016 SE Richard Quick Invitati""","=""6/19/2016"""
705,"Grevers, Matt","=""49.51""","=""2018 Summer Nationals""","=""7/25/2018"""
706,"Jensen, Michael","=""49.51""","=""2018 CA Speedo Grand Challenge""","=""5/27/2018"""
712,"Pieroni, Blake","=""49.51""","=""2018 CA MVN Fran Crippen SMOC""","=""6/22/2018"""
713,"Rooney, Maxime","=""49.51""","=""2021 TYR Pro Swim Series - San""","=""3/4/2021"""
714,"Apple, Zach","=""49.52""","=""2019 IN ISI Counsilman Classic""","=""6/13/2019"""
716,"Chadwick, Michael","=""49.52""","=""2021 Pro Series - Richmond""","=""1/17/2021"""
718,"Adrian, Nathan","=""49.53""","=""2021 TYR Pro Swim Series - San""","=""3/4/2021"""
719,"Chadwick, Michael","=""49.53""","=""November Invite""","=""11/22/2015"""
723,"Pieroni, Blake","=""49.53""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
724,"Pieroni, Blake","=""49.53""","=""2021 TYR Pro Swim Series - San""","=""3/4/2021"""
727,"Adrian, Nathan","=""49.54""","=""2019 Pan Am Games""","=""8/8/2019"""
728,"Chadwick, Michael","=""49.54""","=""2017 Pro Swim - Atlanta""","=""5/5/2017"""
730,"Held, Ryan","=""49.54""","=""2018 Pro Series - Indianapolis""","=""5/17/2018"""
732,"Jackson, Tate","=""49.54""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
733,"Kibler, Drew","=""49.54""","=""2021 ST TXLA Long Course Kick Off""","=""4/25/2021"""
737,"Grevers, Matt","=""49.55""","=""2016 Olympic Trials ""","=""6/29/2016"""
738,"Jackson, Tate","=""49.55""","=""2019 Pro Series - Clovis""","=""6/15/2019"""
739,"Kibler, Drew","=""49.55""","=""2018 Jr Pan Pacific Champs""","=""8/24/2018"""
741,"Murphy, Ryan","=""49.55""","=""2018 Pro Series - Atlanta ""","=""3/1/2018"""
742,"Rooney, Maxime","=""49.55""","=""2017 WUGS""","=""8/23/2017"""
745,"Becker, Bowe","=""49.56""","=""2019 U.S. Open""","=""12/7/2019"""
749,"Kibler, Drew","=""49.56""","=""2019 Summer Nationals""","=""7/31/2019"""
756,"Lasco, Destin","=""49.57""","=""2019 Summer Nationals""","=""7/31/2019"""
760,"Willenbring, Matt","=""49.57""","=""2017 Summer Nationals""","=""6/27/2017"""
761,"Adrian, Nathan","=""49.58""","=""2018 Pro Series - Austin ""","=""1/12/2018"""
762,"Apple, Zach","=""49.58""","=""2018 Pro Series - Columbus ""","=""7/6/2018"""
765,"Dressel, Caeleb","=""49.58""","=""2018 Mel Zajac Jr. Internation""","=""6/3/2018"""
766,"Fleagle, Josh","=""49.58""","=""2016 Olympic Trials ""","=""6/29/2016"""
781,"Molacek, Jacob","=""49.59""","=""2019 Sectionals - Greensboro""","=""7/12/2019"""
791,"Jackson, Tate","=""49.60""","=""2017 ST TXLA Speedo Southern Sectionals""","=""7/6/2017"""
795,"Murphy, Ryan","=""49.60""","=""2017 Pro Swim - Atlanta""","=""5/5/2017"""
796,"Ress, Justin","=""49.60""","=""2021 TYR Pro Swim Series - San""","=""3/4/2021"""
798,"Chadwick, Michael","=""49.61""","=""2021 TYR Pro Swim Series - Mis""","=""4/10/2021"""
799,"Chadwick, Michael","=""49.61""","=""2016 Olympic Trials ""","=""6/29/2016"""
801,"Decoursey, Kyle","=""49.61""","=""2019 U.S. Open""","=""12/7/2019"""
804,"Hoffer, Ryan","=""49.61""","=""2019 Summer Nationals""","=""7/31/2019"""
806,"House, Grant","=""49.61""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
810,"Krueger, Daniel","=""49.61""","=""2016 Jr Pan Pacific Champs""","=""8/25/2016"""
811,"Krueger, Daniel","=""49.61""","=""2019 Time Trials - National Ch""","=""8/3/2019"""
812,"Maurer, Luke","=""49.61""","=""2021 TYR Pro Swim Series - Mis""","=""4/10/2021"""
817,"Chadwick, Michael","=""49.62""","=""2021 TYR Pro Swim Series - Mis""","=""4/10/2021"""
820,"Held, Ryan","=""49.62""","=""2016 NC GCY Sprint and Distanc""","=""6/11/2016"""
822,"Murphy, Ryan","=""49.62""","=""2018 Pro Series - Atlanta ""","=""3/1/2018"""
823,"Theall, Mark","=""49.62""","=""2019 Summer Nationals""","=""7/31/2019"""
824,"Auchinachie, Cameron","=""49.63""","=""2019 Mel Zajac Jr. ""","=""5/26/2019"""
828,"Krueger, Daniel","=""49.63""","=""2019 Sectionals - Austin""","=""7/11/2019"""
832,"Rooney, Maxime","=""49.63""","=""2015 World Cup - Doha""","=""11/2/2015"""
835,"Held, Ryan","=""49.64""","=""2018 Pro Series - Columbus ""","=""7/6/2018"""
836,"Jackson, Tate","=""49.64""","=""2018 ST TXLA 11&Over Long Course Kick Off""","=""4/22/2018"""
843,"Seliskar, Andrew","=""49.64""","=""2021 TYR Pro Swim Series - Mis""","=""4/10/2021"""
845,"Apple, Zach","=""49.65""","=""IU - Louisville Pro Meet""","=""11/8/2019"""
847,"Dressel, Caeleb","=""49.65""","=""2018 GA Atlanta Classic Swim Meet""","=""5/20/2018"""
851,"Loy, Drew","=""49.65""","=""2018 Summer Nationals""","=""7/25/2018"""
852,"Chaney, Adam","=""49.66""","=""2019 Summer Nationals""","=""7/31/2019"""
853,"Decoursey, Kyle","=""49.66""","=""2018 SE TNAQ June Invite""","=""6/15/2018"""
854,"Decoursey, Kyle","=""49.66""","=""2017 Summer Nationals""","=""6/27/2017"""
857,"Howard, Robert","=""49.66""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
860,"Lasco, Destin","=""49.66""","=""2018 Summer Nationals""","=""7/25/2018"""
861,"Pieroni, Blake","=""49.66""","=""2019 World Cup - Doha""","=""9/14/2018"""
865,"Alexy, Jack","=""49.67""","=""2019 Summer Nationals""","=""7/31/2019"""
870,"Jackson, Tate","=""49.67""","=""2018 Sectionals - Austin""","=""7/12/2018"""
873,"Newkirk, Jeff","=""49.67""","=""2019 Summer Nationals""","=""7/31/2019"""
875,"Ress, Justin","=""49.67""","=""2017 GA Atlanta Classic Swim Meet""","=""5/14/2017"""
876,"Shields, Tom","=""49.67""","=""2017 Summer Nationals""","=""6/27/2017"""
882,"Novak, Jesse","=""49.68""","=""2018 Summer Nationals""","=""7/25/2018"""
883,"Pinfold, Brett","=""49.68""","=""2017 Summer Nationals""","=""6/27/2017"""
885,"Sannem, Jake","=""49.68""","=""2019 Summer Nationals""","=""7/31/2019"""
889,"Chadwick, Michael","=""49.69""","=""2020 Pro Series - Greensboro""","=""11/7/2019"""
890,"Conger, Jack","=""49.69""","=""2019 Pro Series - Richmond""","=""4/13/2019"""
892,"Grevers, Matt","=""49.69""","=""2016 Olympic Trials ""","=""6/29/2016"""
893,"Held, Ryan","=""49.69""","=""2017 NC SwimMAC UltraSwim""","=""6/4/2017"""
894,"Hoffer, Ryan","=""49.69""","=""2016 Jr Pan Pacific Champs""","=""8/25/2016"""
896,"House, Grant","=""49.69""","=""2021 AZ SUN April Meet""","=""4/4/2021"""
898,"Pinfold, Brett","=""49.69""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
901,"Smith, Kieran","=""49.69""","=""2021 FL UANA Tokyo Qualifier""","=""5/2/2021"""
902,"Stewart, Coleman","=""49.69""","=""2021 TYR Pro Swim Series - San""","=""3/4/2021"""
905,"Apple, Zach","=""49.70""","=""2017 GA Atlanta Classic Swim Meet""","=""5/14/2017"""
908,"Fleagle, Josh","=""49.70""","=""2016 Olympic Trials ""","=""6/29/2016"""
910,"Held, Ryan","=""49.70""","=""2021 Pro Series - San Antonio""","=""1/17/2021"""
911,"Jensen, Michael","=""49.70""","=""2019 PC CAL-ALTO Dual""","=""6/22/2019"""
914,"Pebley, Jacob","=""49.70""","=""2019 Pro Series - Des Moines""","=""3/7/2019"""
920,"Haas, Townley","=""49.71""","=""2018 Sectionals - Austin""","=""7/12/2018"""
921,"Hoover, Sam","=""49.71""","=""2020 Toyota Greensboro""","=""11/14/2020"""
925,"Pinfold, Brett","=""49.71""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
927,"Rooney, Maxime","=""49.71""","=""2015 Winter Nationals""","=""12/5/2015"""
931,"Adrian, Nathan","=""49.72""","=""2018 Pro Series - Mesa""","=""4/13/2018"""
934,"Chadwick, Michael","=""49.72""","=""2019 U.S. Open""","=""12/7/2019"""
935,"Chadwick, Michael","=""49.72""","=""2018 Pro Series - Mesa""","=""4/13/2018"""
938,"Haas, Townley","=""49.72""","=""2016 Atlanta Classic Swim Meet""","=""5/15/2016"""
950,"Held, Ryan","=""49.73""","=""Mare Nostrum Monaco""","=""6/16/2018"""
951,"Maurer, Luke","=""49.73""","=""2021 TYR Pro Swim Series - Mis""","=""4/10/2021"""
958,"Conger, Jack","=""49.74""","=""2016 Atlanta Classic Swim Meet""","=""5/15/2016"""
959,"Farris, Dean","=""49.74""","=""2020 Pro Series - Greensboro""","=""11/7/2019"""
960,"Farris, Dean","=""49.74""","=""2020 Pro Series - Knoxville""","=""1/19/2020"""
962,"Haas, Townley","=""49.74""","=""2019 Pro Series - Clovis""","=""6/15/2019"""
964,"Krueger, Daniel","=""49.74""","=""2019 ST TXLA 11&O End of School Splash""","=""5/25/2019"""
965,"Lasco, Destin","=""49.74""","=""2019 Summer Nationals""","=""7/31/2019"""
966,"Lynch, Justin","=""49.74""","=""2017 PC OAPB Senior Open""","=""4/29/2017"""
969,"Seliskar, Andrew","=""49.74""","=""2021 TYR Pro Swim Series - San""","=""3/4/2021"""
970,"Adrian, Nathan","=""49.75""","=""2018 Pro Series - Atlanta ""","=""3/1/2018"""
972,"Casas, Shaine","=""49.75""","=""2019 Summer Nationals""","=""7/31/2019"""
973,"Craig, Cameron","=""49.75""","=""2019 Summer Nationals""","=""7/31/2019"""
976,"Dressel, Caeleb","=""49.75""","=""2021 TYR Pro Swim Series - San""","=""3/4/2021"""
977,"Farris, Dean","=""49.75""","=""2018 ST AAAA-NS George Block I""","=""6/21/2018"""
979,"Jackson, Tate","=""49.75""","=""2018 ST AAAA-NS George Block I""","=""6/21/2018"""
981,"Pieroni, Blake","=""49.75""","=""2015 Winter Nationals""","=""12/5/2015"""
984,"Newkirk, Jeff","=""49.76""","=""2018 Phillips 66 TT""","=""7/28/2018"""
985,"Pebley, Jacob","=""49.76""","=""2017 Pro Series - Indianapolis""","=""3/2/2017"""
986,"Rooney, Maxime","=""49.76""","=""2019 ST TXLA Texas Open""","=""6/21/2019"""
987,"Surhoff, Austin","=""49.76""","=""2021 Pro Series - Richmond""","=""1/17/2021"""
989,"Apple, Zach","=""49.77""","=""2021 TYR Pro Swim Series - San""","=""3/4/2021"""
991,"Chaney, Adam","=""49.77""","=""2019 World JR Champs""","=""8/24/2019"""
994,"Decoursey, Kyle","=""49.77""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
998,"Held, Ryan","=""49.77""","=""Barcelona City Trophy""","=""6/13/2018"""
999,"Krueger, Daniel","=""49.77""","=""2021 ST TXLA Long Course Kick Off""","=""4/25/2021"""
1000,"Krueger, Daniel","=""49.77""","=""2018 Pro Series - Austin ""","=""1/12/2018"""
1002,"Newkirk, Jeff","=""49.77""","=""2017 U.S. Open""","=""8/2/2017"""
1003,"Novak, Jesse","=""49.77""","=""2019 Summer Nationals""","=""7/31/2019"""
1005,"Rooney, Maxime","=""49.77""","=""2015 World Cup - Doha""","=""11/2/2015"""
1006,"Sannem, Jake","=""49.77""","=""2019 Summer Nationals""","=""7/31/2019"""
1007,"Seliskar, Andrew","=""49.77""","=""2021 TYR Pro Swim Series - San""","=""3/4/2021"""
1009,"Albiero, Nicolas","=""49.78""","=""2021 KY Louisville Spring Meet""","=""4/17/2021"""
1010,"Auchinachie, Cameron","=""49.78""","=""2019 Summer Nationals""","=""7/31/2019"""
1012,"Howard, Robert","=""49.78""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
1014,"Loy, Drew","=""49.78""","=""2018 Summer Nationals""","=""7/25/2018"""
1016,"Molacek, Jacob","=""49.78""","=""2017 Summer Nationals""","=""6/27/2017"""
1017,"Ress, Justin","=""49.78""","=""2021 NC  TAC TITANS LC Premier""","=""4/9/2021"""
1019,"Seliskar, Andrew","=""49.78""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
1021,"Adrian, Nathan","=""49.79""","=""2018 Pro Series - Indianapolis""","=""5/17/2018"""
1022,"Baker, Ryan","=""49.79""","=""2019 Summer Nationals""","=""7/31/2019"""
1029,"Rooney, Maxime","=""49.79""","=""2016 U.S. Open""","=""8/2/2016"""
1032,"Wright, Colin","=""49.79""","=""2019 Summer Nationals""","=""7/31/2019"""
1033,"Apple, Zach","=""49.80""","=""2018 Pro Series - Indianapolis""","=""5/17/2018"""
1034,"Armstrong, Hunter","=""49.80""","=""2019 Summer Junior Nats""","=""8/7/2019"""
1035,"Austin, Matthew","=""49.80""","=""2016 Olympic Trials ""","=""6/29/2016"""
1036,"Chadwick, Michael","=""49.80""","=""2021 Pro Series - Richmond""","=""1/17/2021"""
1039,"Dressel, Caeleb","=""49.80""","=""2017 GA Atlanta Classic Swim Meet""","=""5/14/2017"""
1041,"Haas, Townley","=""49.80""","=""2019 FINA CS - INDY""","=""6/1/2019"""
1042,"Held, Ryan","=""49.80""","=""2021 TYR Pro Swim Series - San""","=""3/4/2021"""
1044,"Krueger, Daniel","=""49.80""","=""2018 Pro Series - Austin ""","=""1/12/2018"""
1048,"Pebley, Jacob","=""49.80""","=""2017 Pro Swim - Atlanta""","=""5/5/2017"""
1056,"Held, Ryan","=""49.81""","=""2017 NC LC SR Championships""","=""7/23/2017"""
1059,"Molacek, Jacob","=""49.81""","=""2019 NC LC SR Championships""","=""7/21/2019"""
1060,"Newkirk, Jeff","=""49.81""","=""2018 Summer Nationals""","=""7/25/2018"""
1062,"Ress, Justin","=""49.81""","=""2020 Pro Series - Knoxville""","=""1/19/2020"""
1063,"Ress, Justin","=""49.81""","=""2017 NC SwimMAC UltraSwim""","=""6/4/2017"""
1066,"Conger, Jack","=""49.82""","=""2019 FINA CS - INDY""","=""5/31/2019"""
1069,"Held, Ryan","=""49.82""","=""2021 TYR Pro Swim Series - San""","=""3/4/2021"""
1071,"Newkirk, Jeff","=""49.82""","=""2017 U.S. Open""","=""8/2/2017"""
1075,"Adrian, Nathan","=""49.83""","=""2019 Pro Series - Bloomington""","=""5/17/2019"""
1078,"Jensen, Michael","=""49.83""","=""2018 Pro Series - Santa Clara ""","=""6/9/2018"""
1082,"Becker, Bowe","=""49.84""","=""2016 Olympic Trials ""","=""6/29/2016"""
1088,"House, Grant","=""49.84""","=""2018 Phillips 66 TT""","=""7/25/2018"""
1089,"Lasco, Destin","=""49.84""","=""2018 Winter Nationals""","=""12/1/2018"""
1090,"Stewart, Coleman","=""49.84""","=""2021 Pro Series - Richmond""","=""1/14/2021"""
1091,"Stewart, Coleman","=""49.84""","=""2021 NC  TAC TITANS LC Premier""","=""4/9/2021"""
1096,"Grothe, Zane","=""49.85""","=""2019 Pro Series - Des Moines""","=""3/7/2019"""
1098,"Held, Ryan","=""49.85""","=""2018 Pro Series - Columbus ""","=""7/6/2018"""
1101,"Molacek, Jacob","=""49.85""","=""2016 U.S. Open""","=""8/2/2016"""
1103,"Pebley, Jacob","=""49.85""","=""2017 Pro Series - Indianapolis""","=""3/2/2017"""
1104,"Pieroni, Blake","=""49.85""","=""2015 Winter Nationals""","=""12/5/2015"""
1107,"Conger, Jack","=""49.86""","=""2019 U.S. Open""","=""12/7/2019"""
1108,"Held, Ryan","=""49.86""","=""2021 Pro Series - San Antonio""","=""1/17/2021"""
1109,"Hoffer, Ryan","=""49.86""","=""2017 Summer Nationals""","=""6/27/2017"""
1113,"Murphy, Ryan","=""49.86""","=""2016 CAN Oly Trials (others)""","=""4/5/2016"""
1115,"Andrew, Michael","=""49.87""","=""2019 FINA CS - INDY""","=""5/31/2019"""
1116,"Andrew, Michael","=""49.87""","=""2018 Summer Nationals""","=""7/25/2018"""
1123,"Rooney, Maxime","=""49.87""","=""2021 ST TXLA Long Course Kick Off""","=""4/25/2021"""
1127,"Held, Ryan","=""49.88""","=""2018 Pro Series - Indianapolis""","=""5/17/2018"""
1128,"House, Grant","=""49.88""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
1129,"Kibler, Drew","=""49.88""","=""2019 ST TXLA Longhorn Long Course Invite""","=""1/17/2019"""
1133,"Conger, Jack","=""49.89""","=""2016 Atlanta Classic Swim Meet""","=""5/15/2016"""
1135,"Dressel, Caeleb","=""49.89""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
1137,"Farris, Dean","=""49.89""","=""2020 Pro Series - Knoxville""","=""1/19/2020"""
1139,"Krueger, Daniel","=""49.89""","=""2017 Pro Series - Austin ""","=""1/13/2017"""
1140,"Magahey, Jake","=""49.89""","=""2019 GA Bulldog Grand Slam""","=""6/23/2019"""
1145,"Shields, Tom","=""49.89""","=""2016 Atlanta Classic Swim Meet""","=""5/15/2016"""
1146,"Shields, Tom","=""49.89""","=""2016 CAN Oly Trials (others)""","=""4/5/2016"""
1154,"Krueger, Daniel","=""49.90""","=""International de Canet-en-Roussillon - Mar""","=""6/10/2018"""
1155,"Loy, Drew","=""49.90""","=""2019 Summer Nationals""","=""7/31/2019"""
1156,"Maurer, Luke","=""49.90""","=""2019 Summer Junior Nats""","=""8/7/2019"""
1158,"Murphy, Ryan","=""49.90""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
1160,"Smith, Kieran","=""49.90""","=""2019 Trofeu Internacional Ciutat ""","=""6/15/2019"""
1161,"Thibert, Mike","=""49.90""","=""2018 Summer Nationals""","=""7/25/2018"""
1162,"Apple, Zach","=""49.91""","=""2021 Pro Series - San Antonio""","=""1/17/2021"""
1163,"Apple, Zach","=""49.91""","=""2018 Pro Series - Santa Clara ""","=""6/9/2018"""
1164,"Apple, Zach","=""49.91""","=""2018 Pro Series - Indianapolis""","=""5/17/2018"""
1169,"Grevers, Matt","=""49.91""","=""2016 Pro Series - Austin""","=""1/15/2016"""
1177,"Chadwick, Michael","=""49.92""","=""2016 Pro Series - Austin""","=""1/15/2016"""
1182,"Farris, Dean","=""49.92""","=""2019 GU TAMU LC TSC""","=""6/20/2019"""
1183,"Farris, Dean","=""49.92""","=""2018 Pro Series - Santa Clara ""","=""6/9/2018"""
1185,"O'Haimhirgin, Liam","=""49.92""","=""2017 Sectionals - La Mirada""","=""7/20/2017"""
1189,"Brownstead, Matt","=""49.93""","=""2019 Summer Nationals""","=""7/31/2019"""
1190,"Casas, Shaine","=""49.93""","=""2018 Summer Nationals""","=""7/25/2018"""
1193,"Farber, Sid","=""49.93""","=""PRINCETON SWIMMING BIG AL LCM""","=""12/9/2019"""
1194,"Farris, Dean","=""49.93""","=""2019 GA Atlanta Classic Swim Meet""","=""5/19/2019"""
1195,"Farris, Dean","=""49.93""","=""2018 Pro Series - Santa Clara ""","=""6/9/2018"""
1198,"Novak, Jesse","=""49.93""","=""2018 Summer Nationals""","=""7/25/2018"""
1199,"Pieroni, Blake","=""49.93""","=""UT vs Indiana vs Florida""","=""10/16/2015"""
1201,"Smith, Kieran","=""49.93""","=""2020 Toyota Sarasota""","=""11/14/2020"""
1202,"Stewart, Coleman","=""49.93""","=""2021 TYR Pro Swim Series - San""","=""3/4/2021"""
1208,"Haas, Townley","=""49.94""","=""2016 Olympic Trials ""","=""6/29/2016"""
1212,"Magahey, Jake","=""49.94""","=""2019 Summer Nationals""","=""7/31/2019"""
1214,"Pinfold, Brett","=""49.94""","=""2016 Sectionals - Brown Deer""","=""7/21/2016"""
1217,"Rooney, Maxime","=""49.94""","=""2018 GA Atlanta Classic Swim Meet""","=""5/20/2018"""
1219,"Stewart, Coleman","=""49.94""","=""2019 NC SwimMAC Charlotte Ultr""","=""6/16/2019"""
1224,"Chaney, Adam","=""49.95""","=""2018 Summer Nationals""","=""7/25/2018"""
1227,"O'Haimhirgin, Liam","=""49.95""","=""2020 PN Men's Pac-12 LC TT""","=""3/8/2020"""
1229,"Reid, Noah","=""49.95""","=""2019 Summer Nationals""","=""7/31/2019"""
1235,"Chadwick, Michael","=""49.96""","=""2016 Pro Series - Mesa""","=""4/16/2016"""
1236,"Chadwick, Michael","=""49.96""","=""2016 Pro Series - Charlotte ""","=""5/15/2016"""
1237,"Chadwick, Michael","=""49.96""","=""2016 Pro Series - Austin""","=""1/15/2016"""
1238,"Chaney, Adam","=""49.96""","=""2019 World JR Champs""","=""8/24/2019"""
1240,"Grothe, Zane","=""49.96""","=""2019 Summer Nationals""","=""7/31/2019"""
1246,"Andrew, Michael","=""49.97""","=""2017 Summer Nationals""","=""6/27/2017"""
1250,"Held, Ryan","=""49.97""","=""Barcelona City Trophy""","=""6/13/2018"""
1251,"Howard, Robert","=""49.97""","=""2017 Summer Nationals""","=""6/27/2017"""
1255,"Robrock, Kyle","=""49.97""","=""2017 Summer Nationals""","=""6/27/2017"""
1256,"Shields, Tom","=""49.97""","=""2017 Pro Series - Mesa""","=""4/13/2017"""
1258,"Chadwick, Michael","=""49.98""","=""2017 Pro Swim - Atlanta""","=""5/5/2017"""
1260,"Fleagle, Josh","=""49.98""","=""2018 Pro Series - Columbus ""","=""7/6/2018"""
1262,"Hoffer, Ryan","=""49.98""","=""2016 Jr Pan Pacific Champs""","=""8/25/2016"""
1269,"Pieroni, Blake","=""49.98""","=""2018 CA MVN Fran Crippen SMOC""","=""6/22/2018"""
1270,"Pinfold, Brett","=""49.98""","=""2016 U.S. Open""","=""8/2/2016"""
1271,"Schilling, Sam","=""49.98""","=""2019 VA LC SR Championships""","=""7/21/2019"""
1273,"Adrian, Nathan","=""49.99""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
1275,"Brownstead, Matt","=""49.99""","=""2019 U.S. Open""","=""12/7/2019"""
1279,"Dressel, Caeleb","=""49.99""","=""Ohio State Invitational""","=""11/22/2015"""
1280,"Jackson, Tate","=""49.99""","=""2019 ST TXLA Longhorn Long Course Invite""","=""1/17/2019"""
1281,"Jensen, Michael","=""49.99""","=""2018 CA Speedo Grand Challenge""","=""5/27/2018"""
1284,"Koster, Adam","=""49.99""","=""2019 Sectionals - Austin""","=""7/11/2019"""
1286,"Murphy, Ryan","=""49.99""","=""2019 FINA CS - INDY""","=""5/31/2019"""
1291,"Smith, Kieran","=""49.99""","=""2020 Pro Series - Knoxville""","=""1/19/2020"""
1295,"Chadwick, Michael","=""50.00""","=""2019 Pro Series - Knoxville""","=""1/12/2019"""
1299,"Haas, Townley","=""50.00""","=""2019 U.S. Open""","=""12/7/2019"""
1302,"Kibler, Drew","=""50.00""","=""2017 Summer Nationals""","=""6/27/2017"""
1306,"Reid, Noah","=""50.00""","=""2019 CA  Los Angeles Invite""","=""7/12/2019"""
1307,"Ress, Justin","=""50.00""","=""2021 TYR Pro Swim Series - San""","=""3/4/2021"""
1308,"Rooney, Maxime","=""50.00""","=""2016 PC TERA FAR WESTERNS""","=""7/27/2016"""
1313,"Chadwick, Michael","=""50.01""","=""2017 NC SwimMAC UltraSwim""","=""6/4/2017"""
1314,"Chaney, Adam","=""50.01""","=""2018 Jr Pan Pacific Champs""","=""8/24/2018"""
1315,"Decoursey, Kyle","=""50.01""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
1316,"Decoursey, Kyle","=""50.01""","=""2018 Summer Nationals""","=""7/25/2018"""
1319,"Jackson, Tate","=""50.01""","=""2016 NT American Long Course""","=""7/28/2016"""
1320,"Jackson, Tate","=""50.01""","=""2017 ST TXLA Speedo Southern Sectionals""","=""7/6/2017"""
1324,"Lynch, Justin","=""50.01""","=""2018 Summer Nationals""","=""7/25/2018"""
1325,"Magahey, Jake","=""50.01""","=""2019 World JR Champs""","=""8/24/2019"""
1328,"Brownstead, Matt","=""50.02""","=""2019 Summer Nationals""","=""7/31/2019"""
1329,"Chadwick, Michael","=""50.02""","=""2016 Pro Series - Indianapolis""","=""6/5/2016"""
1333,"Fleagle, Josh","=""50.02""","=""2016 U.S. Open""","=""8/2/2016"""
1334,"Held, Ryan","=""50.02""","=""2016 NC GCY Sprint and Distanc""","=""6/11/2016"""
1335,"Held, Ryan","=""50.02""","=""2018 Pro Series - Austin ""","=""1/12/2018"""
1336,"Howard, Robert","=""50.02""","=""2017 Summer National Champs TT""","=""6/30/2017"""
1338,"Koster, Adam","=""50.02""","=""2018 Phillips 66 TT""","=""7/27/2018"""
1339,"Lasco, Destin","=""50.02""","=""2020 Stanford Invite""","=""11/21/2020"""
1341,"Pinfold, Brett","=""50.02""","=""2021 TYR Pro Swim Series - San""","=""3/4/2021"""
1345,"Stewart, Coleman","=""50.02""","=""2020 Pro Series - Greensboro""","=""11/7/2019"""
